name,lat,lon,date_bce,circle_pos,cluster,source,is_monumental,type
Tol-e Baši,30.08,52.59,-4096,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Tol-e Baši,30.08,52.59,-5390,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Tol-e Baši,30.08,52.59,-5503,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Tol-e Baši,30.08,52.59,-5530,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Tol-e Baši,30.08,52.59,-4104,341.4522976510301,Iran / Persia,p3k14c,False,radiocarbon
Untitled,29.5,52.5,-550,341.4732043985023,Iran / Persia,pleiades,False,canal
Maitona,30.0932709192,52.5401983113,-550,341.4964843312637,Iran / Persia,pleiades,False,"unlocated, settlement"
Tanagra,30.0932709192,52.5401983113,-30,341.4964843312637,Iran / Persia,pleiades,False,unlocated
Kuh-i Shahrak,30.14414,52.532666,-30,341.5079485537208,Iran / Persia,pleiades,True,temple
Bard Burideh 1,30.159804,52.50205,-550,341.5358266621397,Iran / Persia,pleiades,False,settlement
Persis/Pars,30.1033729435,52.491334576,-550,341.5395448402444,Iran / Persia,pleiades,False,"region, label"
Tal-i Baiza,29.961872,52.444364,-550,341.5662475151828,Iran / Persia,pleiades,False,settlement
Tal-i Gachi,30.055736,52.451302,-550,341.56938521501695,Iran / Persia,pleiades,False,mine
Sang-i Dokhtar,30.172501,52.436113,-550,341.59379986817373,Iran / Persia,pleiades,False,dam
Tal-i Malyan/[Anzan],30.0032156667,52.4103596667,-4000,341.5995711167973,Iran / Persia,pleiades,False,"settlement, archaeological-site"
Tall-i-Malyan,30.011667,52.407778,-1278,341.60261431575304,Iran / Persia,p3k14c,False,radiocarbon
Tall-i-Malyan,30.011667,52.407778,-1163,341.60261431575304,Iran / Persia,p3k14c,False,radiocarbon
Tall-i-Malyan,30.011667,52.407778,-1688,341.60261431575304,Iran / Persia,p3k14c,False,radiocarbon
Tall-i-Malyan,30.011667,52.407778,-1552,341.60261431575304,Iran / Persia,p3k14c,False,radiocarbon
Tall-i-Malyan,30.011667,52.407778,-2538,341.60261431575304,Iran / Persia,p3k14c,False,radiocarbon
Guyum,29.851062,52.323731,-30,341.6596261939818,Iran / Persia,pleiades,False,monument
Kaupirrish,30.161109,52.323145,-550,341.689913520535,Iran / Persia,pleiades,False,settlement
Persides?/Susidae? Pylae,30.093233,51.909909,-550,342.0393400503208,Iran / Persia,pleiades,False,pass
Kazerun,29.618332,51.658333,-30,342.21321408307927,Iran / Persia,pleiades,True,temple
Gur-i Shapur,29.8076618,51.6118028,-30,342.27052032565564,Iran / Persia,pleiades,False,"sanctuary, cave"
Veh Shapur/Bishapur,29.7776349537,51.5709392664,-30,342.30314604877765,Iran / Persia,pleiades,False,settlement
Tang-i Qandil,29.848585,51.577081,-30,342.3041933135528,Iran / Persia,pleiades,True,temple
Naqsh-i Bahram,30.010802,51.587302,-30,342.30991172320046,Iran / Persia,pleiades,True,temple
Girre,29.5,51.5,-30,342.33978386164654,Iran / Persia,pleiades,False,unknown
