name,lat,lon,type
"Ruxley old church",51.411769,0.134316,scheduled_monument
"Goldsmiths' Hall",51.515707,-0.095877,scheduled_monument
"Innholders' Hall",51.510872,-0.091669,scheduled_monument
"Merchant Taylors' Hall",51.513985,-0.085097,scheduled_monument
"Painter Stainers' Hall",51.511673,-0.094993,scheduled_monument
"Skinners' Hall",51.511139,-0.091456,scheduled_monument
"Tallow Chandlers' Hall",51.511378,-0.091244,scheduled_monument
"Vintners' Hall",51.510697,-0.093607,scheduled_monument
"Watermen's Hall",51.509496,-0.083930,scheduled_monument
"Roman wall in basement of 90 Gracechurch Street",51.512981,-0.084231,scheduled_monument
"Royal Observatory Greenwich",51.477968,-0.001999,scheduled_monument
"Greenwich Hospital (RN College)",51.483363,-0.006732,scheduled_monument
"Kensington Palace",51.505186,-0.187859,scheduled_monument
"Pottery kiln in Walmer Road",51.510412,-0.211401,scheduled_monument
"Elsyng Palace",51.671996,-0.065655,scheduled_monument
"Brick reservoir 300yds (270m) SW of Gallows Conduit, Coombe",51.415889,-0.277824,scheduled_monument
"Romano-British site 1000yds (910m) W of East Bedfont parish church",51.452994,-0.453415,scheduled_monument
"Part of a causewayed enclosure, 632m north-east of Mayfield Farm",51.451664,-0.446695,scheduled_monument
"Grim's Ditch: section extending 1500yds (1370m) NE from Oxhey Lane",51.623465,-0.356035,scheduled_monument
"Ruislip motte and bailey",51.579502,-0.428832,scheduled_monument
"Old Brew House, Bushy Park",51.421964,-0.355810,scheduled_monument
"Earthworks at Old Park",51.644400,-0.090982,scheduled_monument
"London Wall: remains of Roman wall, bastions and city gate of Aldgate from 17 Bevis Marks to India Street",51.513753,-0.076992,scheduled_monument
"London Wall: remains of Roman wall and bastion, Goring Street",51.515192,-0.079209,scheduled_monument
"London Wall: remains of Roman and medieval wall from W end of All Hallows Church to 38 Camomile Street",51.516448,-0.082831,scheduled_monument
"London Wall: remains of Roman wall and conduit and medieval postern, Bloomfield House to site of Moor Gate",51.517076,-0.087201,scheduled_monument
"Remains of Roman and medieval wall and gateway W of boundary of Stationers' Hall to Ludgate Hill",51.513955,-0.102075,scheduled_monument
"London Wall: remains of Roman fort wall and east gate under Aldermanbury",51.515968,-0.093128,scheduled_monument
"Remains of Winchester Palace, Clink Street and waterfront",51.506745,-0.091106,scheduled_monument
"Apothecaries' Hall",51.512928,-0.103055,scheduled_monument
"Armourers' and Brasiers' Hall",51.517202,-0.089415,scheduled_monument
"Dyers' Hall",51.511001,-0.091303,scheduled_monument
"Fishmongers' Hall",51.509351,-0.087697,scheduled_monument
"Bell Barrow called Boadicea's Grave, 650m west of Millfield Cottage",51.563065,-0.163802,scheduled_monument
"Queen's House",51.481173,-0.003789,scheduled_monument
"Tower of London",51.508278,-0.076517,scheduled_monument
"London Wall: remains of medieval and Roman wall extending 75yds (68m) N from Trinity Place to railway",51.510565,-0.076161,scheduled_monument
"London Wall: section from underground railway to Tower Hill GUARDIANSHIP",51.509809,-0.076106,scheduled_monument
"Barnard's Inn Hall (Mercers' School)",51.517550,-0.109781,scheduled_monument
"Monument",51.510141,-0.085964,scheduled_monument
"Inner Temple Hall Buttery",51.512768,-0.110412,scheduled_monument
"London Wall: section bounding All Hallows Churchyard",51.516701,-0.084579,scheduled_monument
"London Wall: section in Amen Court",51.514717,-0.101957,scheduled_monument
"London Wall: remains of Roman wall and bastion (4a) at Crutched Friars",51.512224,-0.076422,scheduled_monument
"Motte in Castle Hill Wood, Huntley",51.887993,-2.415189,scheduled_monument
"Deserted medieval village",51.988110,-2.137596,scheduled_monument
"Hempsted village cross",51.850814,-2.270480,scheduled_monument
"Lady's Well",51.854185,-2.270776,scheduled_monument
"Kingsholm Palace (site of)",51.873838,-2.242570,scheduled_monument
"Eastgate and stretch of city wall",51.863855,-2.244084,scheduled_monument
"West Hill Romano-Celtic temple",51.696421,-2.306423,scheduled_monument
"Taddington medieval settlement",51.979294,-1.872981,scheduled_monument
"Lancaut deserted village",51.664743,-2.671647,scheduled_monument
"Lydney Harbour",51.709971,-2.508599,scheduled_monument
"Gunns Mills furnace",51.841156,-2.472904,scheduled_monument
"Wall N of Bishop's Palace",51.868543,-2.246448,scheduled_monument
"Tower of St Michael's Church",51.865191,-2.245820,scheduled_monument
"Battledown camp",51.896431,-2.044583,scheduled_monument
"Earthwork on Cleeve Common",51.935045,-2.020724,scheduled_monument
"Gretton Church (ruins of)",51.972187,-1.988614,scheduled_monument
"Camp on Langley Hill, one mile (1600m) NW of town",51.959681,-1.989854,scheduled_monument
"Camp NE of Stowe",51.754998,-2.632754,scheduled_monument
"Broad Stone",51.672388,-2.612181,scheduled_monument
"Roman site 150yds (140m) E of Palace Cottage, Boughspring",51.673364,-2.638166,scheduled_monument
"Collier's Wood Glass House",51.703505,-2.241729,scheduled_monument
"Llanthony Secunda Priory",51.860016,-2.256885,scheduled_monument
"Over earthwork",51.876120,-2.272113,scheduled_monument
"Tithe barn",51.990029,-1.913567,scheduled_monument
"Dyke camp",51.775588,-2.240839,scheduled_monument
"Barton End Farm earthworks",51.676199,-2.223058,scheduled_monument
"Gateway to Almonry",51.774261,-2.290993,scheduled_monument
"Ruardean Castle",51.857672,-2.553374,scheduled_monument
"Snowshill round barrows (SW of village)",51.998682,-1.868906,scheduled_monument
"Holm Castle, site of",51.987319,-2.159131,scheduled_monument
"Glevum Roman colonia",51.863022,-2.246752,scheduled_monument
"Remains of Roman wall",51.863020,-2.248030,scheduled_monument
"St Oswald's Priory (St Catherine's Church)",51.869278,-2.247933,scheduled_monument
"47 and 49 Eastgate Street",51.864216,-2.243650,scheduled_monument
"Painswick Roman villa (W of High Fold)",51.790091,-2.207642,scheduled_monument
"Castle Godwyn",51.802712,-2.187992,scheduled_monument
"Randwick Hill long barrow, round barrows and dyke",51.761567,-2.251559,scheduled_monument
"Pen Hill dyke",51.717329,-2.264369,scheduled_monument
"Folly Wood long barrow",51.670348,-2.329181,scheduled_monument
"Rowden Wood long barrow",51.670592,-2.322328,scheduled_monument
"Damery camp",51.647673,-2.424175,scheduled_monument
