name,lat,lon,source,type_raw,subtype,date_bp,gc_distance_km,cluster
Agarak,40.295287,44.278008,megalithic_portal,Rock Cut Tomb,rock_cut_monumental,,1112.7,Other
Untitled,36.75,9.25,pleiades,quarry,utilitarian,1980,1113.4,Other
Untitled,36.75,9.25,pleiades,quarry,utilitarian,1980,1113.4,Other
Cuevas de San AndrÃ©s,28.505196750875,-16.20206640692,megalithic_portal,Cave or Rock Shelter,natural_cave,,1114.2,Other
Kouretas Cave,38.910362,20.972769,wikidata,archaeological_site,natural_cave,,1114.2,Other
Untitled,36.697824,8.981726,pleiades,mine-2,utilitarian,1980,1114.4,Other
Grotta Grottona,37.9831819,15.1733002,megalithic_portal,Cave or Rock Shelter,natural_cave,,1115.6,Other
Yengema Cave,8.616666666,-11.166666666,wikidata,megalithic_monument,natural_cave,,1116.5,Other
Cueva de Bencomo,28.407141639244,-16.5061,megalithic_portal,Cave or Rock Shelter,natural_cave,,1117.2,Other
Untitled,36.888865,9.643071,pleiades,mine-2,utilitarian,1980,1118.8,Other
Cueva del Viento,28.3435,-16.6986,megalithic_portal,Cave or Rock Shelter,natural_cave,,1119.0,Other
Henchir-Dehamine,36.870445,9.542322,pleiades,settlement,utilitarian,1980,1119.2,Other
Cyclops Cave,39.369075,24.142878,megalithic_portal,Cave or Rock Shelter,natural_cave,,1119.3,Other
Untitled,37.25,11.25,pleiades,quarry,utilitarian,2280,1120.0,Other
Untitled,36.904218,9.654412,pleiades,mine,utilitarian,1980,1120.2,Other
Prehistoric Cave Sites in Maros-Pangkep,-4.912638888,119.745833333,wikidata,archaeological_site,natural_cave,,1121.5,Other
Zona Arqueologica de la Cueva de Las Cuevas de Don Gaspar,28.3625,-16.72681,megalithic_portal,Cave or Rock Shelter,natural_cave,,1122.1,Other
Oylat Cave,39.94333333,29.59055556,wikidata,megalithic_monument,natural_cave,,1122.9,Other
Cueva de los Guanches,28.38292,-16.69993,megalithic_portal,Cave or Rock Shelter,natural_cave,,1123.0,Other
Cava Portella Misilbesi,37.649418,13.002665,pleiades,quarry,utilitarian,2500,1124.3,Other
Cave di Barone,37.63202,12.814435,pleiades,quarry,utilitarian,2700,1126.4,Other
Cave di Belice,37.646804,12.87704,pleiades,quarry,utilitarian,2700,1126.7,Other
Cave di Cusa,37.619768,12.720718,pleiades,quarry,utilitarian,2700,1127.1,Other
Ain Smara,36.266438,6.499939,pleiades,quarry,utilitarian,1980,1131.4,Other
Dion/Orchomenos,39.25,22.25,pleiades,settlement,utilitarian,,1132.3,Other
İnönü Caves,40.219694444,32.244833333,wikidata,archaeological_site,natural_cave,,1132.5,Other
Pettakere cave,-5.003056,119.694444,wikidata,archaeological_site,natural_cave,,1133.1,Other
Theches (mountain),40.5,39.5,pleiades,mountain,utilitarian,2500,1133.5,Other
Maros-Pangkep caves (Sulawesi),-4.985,119.643,curated,modified_cave,modified_cave,45000,1134.2,Other
Yedi Taşlar,39.7412349,26.2416619,pleiades,quarry,utilitarian,1980,1134.6,Other
S. Marco d’Alunzio,38.071905,14.700325,pleiades,quarry,utilitarian,1980,1134.6,Other
Untitled,40.5,38.5,pleiades,mine-2,utilitarian,1980,1135.3,Other
Karaca Cave,40.5442,39.4028,wikidata,megalithic_monument,natural_cave,,1138.6,Other
Chettaba,36.328033,6.451106,pleiades,"sanctuary, cave",natural_cave,2280,1139.2,Other
Mustiae,38.4548658,16.5827465,pleiades,"unlocated, settlement",utilitarian,2280,1139.6,Other
Rocca Argenteria,37.8637582,13.313466,pleiades,"quarry, mountain",utilitarian,1980,1140.8,Other
Djebel Taya,36.507494,7.082773,pleiades,"mine-2, monument",utilitarian,2280,1141.8,Other
Iron mine near Djebel Taya,36.521745,7.119469,pleiades,mine-2,utilitarian,2280,1142.4,Other
Untitled,36.866224,8.573824,pleiades,mine-2,utilitarian,1980,1142.4,Other
Untitled,36.75,7.75,pleiades,quarry,utilitarian,1980,1150.6,Other
Asprochaliko,39.280997,20.844038,megalithic_portal,Cave or Rock Shelter,natural_cave,,1156.7,Other
Dubendi Cave,40.45897,50.25683,megalithic_portal,Cave or Rock Shelter,natural_cave,,1157.6,Other
Pontic rock-cut tombs,40.6529947,35.829145,pleiades,"tomb, cemetery",rock_cut_monumental,2280,1160.7,Other
Kral Kaya Mezarları,40.653462,35.8306128,pleiades,tomb,rock_cut_monumental,2280,1160.8,Other
Nawarla Gabarnmang,-13.029,132.909,curated,modified_cave,modified_cave,28000,1161.3,Other
