lat,lon,country,site_name,site_type,feature_type,n_dates
51.9333,4.1344,DE,Kroppenstedt,single grave,single grave,4
53.9,13.2333,DE,Kruckow,"dolmen, exteed","dolmen, exteed",11
53.8996,13.1991,DE,Kruckow 1,collective grave,collective grave,9
51.0333,10.9667,DE,Kühnhausen,single grave,single grave,6
50.0455,11.0951,DE,Kümmersreuth,single grave,single grave,5
48.8333,13.0,DE,Künzing-Ost,,,18
48.6764,13.045,DE,Künzing-Unternberg,enclosure,enclosure,74
50.8493,6.3525,DE,Lamersdorf,settlement,settlement,21
54.3667,13.6333,DE,Lancken-Granitz,"dolmen, exteed","dolmen, exteed",8
48.6749,12.6913,DE,Landau an der Isar,b,b,3
48.5627,6.1387,DE,Landshut-Hascherkeller,,,18
48.4973,10.1224,DE,Langenau,,,4
48.7167,4.5992,DE,Langenhettenbach,settlement,settlement,8
50.8167,6.4333,DE,Langenweiler 10,settlement,settlement,50
50.816,6.433,DE,Langweiler 2,b,b,62
53.4815,12.4686,DE,Laschendorf 8,single grave,single grave,4
48.3167,9.5667,DE,Lautereck,rockshelter,rockshelter,8
53.2333,7.435,DE,Leer-Westhammrich,single grave,single grave,56
50.5242,10.653,DE,Lengfeld,,,5
50.48,8.76,DE,Lich-eberstadt,,,5
53.6667,12.7101,DE,Liepen 1,passage grave,passage grave,9
54.483,13.517,DE,Lietzow,settlement,settlement,40
51.85,11.7,DE,Löbnitz,,,9
51.8565,11.681,DE,Löbnitz (Bode),single grave,single grave,6
53.4178,11.9289,DE,Löddigsee,settlement,settlement,48
51.1833,9.2667,DE,"Lohne, Hasenberg",settlement,settlement,25
51.1667,9.2333,DE,"Lohne, Züschen I",gallery grave,gallery grave,5
50.7333,8.6333,DE,Lohra,gallery grave,gallery grave,5
51.095,12.3353,DE,Luckaer Forst,single grave,single grave,9
52.6956,10.9668,DE,Lüdelsen 3,collective grave,collective grave,36
48.9018,9.2157,DE,"Ludwigsburg, Schlößlesfeld",settlement,settlement,9
47.8156,9.0531,DE,Ludwigshafen-Seehalde,,,8
52.0763,11.6689,DE,Magdeburg-Salbke,settlement,settlement,8
50.6667,8.7333,DE,Mainzlar,b mou,b mou,4
53.733,12.7833,DE,Malchin,single grave,single grave,4
53.7125,12.745,DE,Malchin 3,non-megalithic grave,non-megalithic grave,2
48.7175,11.4941,DE,Manching,,,4
48.9531,12.2384,DE,Mangolding-Mintraching,,,3
50.7667,8.9167,DE,Mardorf,settlement,settlement,5
47.7389,9.0013,DE,Markelfingen-groÃŸe Espe,,,4
49.4416,10.3636,DE,Marktbergel,miscellaneous,miscellaneous,4
54.3471,10.5735,DE,"Matzwitz, Planker LA 33",b mou,b mou,16
47.7415,9.2287,DE,Maurach-Ziegelhütte,,,4
50.3333,7.2167,DE,Mayen,enclosure,enclosure,36
47.6916,9.2766,DE,Meersburg-Ramsbach,,,4
53.6333,10.1666,DE,Meiendorf,,,20
53.6333,10.1667,DE,Meiendorf 9,,,8
53.6,7.3833,DE,Menstede-Coldinne,miscellaneous,miscellaneous,2
49.0879,8.5616,DE,Michelsberg,enclosure,enclosure,2
48.0865,9.7471,DE,Mittelbiberach,,,4
53.0167,10.6167,DE,Molzen,single grave,single grave,18
48.9252,12.2682,DE,Moosham,enclosure,enclosure,12
51.66,9.9,DE,Moringen-Großenrode,,,13
48.8643,11.0112,DE,Mörnsheim,,,24
51.3,11.8167,DE,Mücheln,single grave,single grave,9
50.7,2.0241,DE,Müddersheim,settlement,settlement,13
47.8108,8.8082,DE,Mühlhausen-Ehingen,,,36
47.8128,8.8018,DE,Mühlhausen-Ehingen Cemetery,,,16
48.8542,9.09,DE,Münchingen,single grave,single grave,2
47.9688,7.6984,DE,Munzingen,,,26
53.85,11.2667,DE,Naschendorf,passage grave,passage grave,39
54.6668,8.3193,DE,Nebel,long tumulus,long tumulus,4
53.35,14.35,DE,Neuenfeld 17,single grave,single grave,4
54.33,11.05,DE,Neukirchen-SÃ¼tel,,,6
54.3338,11.05,DE,Neukirch-Sütel,settlement,settlement,2
54.0965,10.8123,DE,Neustadt LA 156,settlement,settlement,46
50.4833,7.4833,DE,Niederbieber,,,13
51.278,11.0011,DE,Niederbösa,dead house,dead house,5
52.7223,12.0067,DE,NiedergÃ¶rne,settlement,settlement,1
50.8667,6.3333,DE,Niedermerz 2,single grave,single grave,20
52.2082,10.6457,DE,"Niedersickte """"Dormorgen"""" FStNr. 2",enclosure,enclosure,15
51.479,10.7207,DE,Nohra,single grave,single grave,15
51.5167,4.1496,DE,Nordhausen 2,dead house,dead house,5
51.7,10.0,DE,"Northeim, Kiessee",enclosure,enclosure,4
51.927,7.3534,DE,Nottuln,enclosure,enclosure,17
47.7517,9.1958,DE,Nussdorf-Strandbad,,,4
49.05,8.77,DE,Oberderdingen-Grossvillars,,,40
51.65,8.6667,DE,Oberntudorf,enclosure,enclosure,8
48.7957,12.642,DE,Oberschneiding,enclosure,enclosure,14
51.7833,9.8833,DE,Odagsen,non-megalithic chambered grave,non-megalithic chambered grave,24
48.1195,9.6409,DE,Odenahlen,settlement,settlement,44
48.8186,10.4503,DE,Ofnet,cave,cave,25
47.6547,8.8864,DE,Öhningen-Ohrkopf,,,5
53.1466,10.2204,DE,Oldendorf,gallery grave,gallery grave,10
52.9758,10.5891,DE,Oldenstadt,single grave,single grave,5
48.1,9.635,DE,Olzreute-Enzisholz,,,28
51.15,4.1316,DE,Orlishausen,single grave,single grave,5
52.0333,4.5962,DE,Oschersleben,single grave,single grave,5
52.8372,7.5887,DE,Ostenwalde,passage grave,passage grave,16
48.691,13.016,DE,Osterhofen-Altenmarkt,,,3
52.0167,7.2167,DE,Osterwick-Höven,settlement,settlement,8
53.6084,11.3961,DE,Ostorf Cemetery,single grave,single grave,170
54.3628,9.6124,DE,"Owschlag, LA 200",settlement,settlement,5
54.3489,13.0762,DE,Parow,settlement,settlement,18
51.75,11.7667,DE,Peißen,settlement,settlement,26
53.0596,11.4553,DE,Pevestorf,single grave,single grave,20
53.4666,12.25,DE,Plau 1,single grave,single grave,4
51.75,11.6833,DE,Plötzkau,single grave,single grave,4
54.0325,13.1682,DE,Poggendorfer Forst,"dolmen, exteed","dolmen, exteed",2
48.215,12.559,DE,Polling,,,2
53.3167,13.8667,DE,Prenzlau,settlement,settlement,8
51.7333,11.8167,DE,Preußlitz,single grave,single grave,8
51.75,11.8167,DE,Preußlitz-Plömnitz,single grave,single grave,7
52.4984,12.4766,DE,Pritzerber See,,,4
54.369,13.0237,DE,Prohn,single grave,single grave,24
53.8276,11.8201,DE,Qualitz,passage grave,passage grave,4
51.79,11.14,DE,Quedlinburg,,,11
