Longitude,Latitude,Database
-64.31698942,-12.28582283,PAST
-64.17587428,-12.09469476,PAST
-62.23784938,-11.74316496,PAST
-62.34601941,-13.03846745,PAST
-62.31706723,-12.18489902,PAST
-62.32959886,-12.16536133,PAST
-53.404633,-11.999194,PAST
-53.563283,-11.927756,PAST
-53.353197,-12.163966,PAST
-53.167136,-12.29838,PAST
-53.228033,-12.349509,PAST
-53.19294,-12.383729,PAST
-53.165547,-12.426101,PAST
-53.104699,-12.560626,PAST
-53.35184,-12.283552,PAST
-53.277241,-12.691232,PAST
-53.066773,-12.591882,PAST
-53.144419,-12.557798,PAST
-53.133677,-12.528338,PAST
-53.266566,-12.441548,PAST
-53.582823,-12.250195,PAST
-53.458494,-12.103033,PAST
-63.63433203,-13.6106434,PAST
-63.754727,-13.77421726,PAST
-63.74137,-13.721527,PAST
-63.67239809,-13.64865834,PAST
-63.6511249,-13.60371385,PAST
-63.65200004,-13.60964439,PAST
-63.63761716,-13.64359471,PAST
-63.65553849,-13.63360565,PAST
-63.65527254,-13.64168053,PAST
-63.6595951,-13.63938181,PAST
-63.48494825,-13.72284751,PAST
-63.4528767,-13.74122835,PAST
-63.43486945,-13.69282548,PAST
-66.15978684,-11.14645028,PAST
-66.16010344,-11.14210813,PAST
-66.16520783,-11.14494779,PAST
-66.16479132,-11.13978567,PAST
-66.16655306,-11.15056135,PAST
-66.17945342,-11.17597738,PAST
-66.23675401,-11.23096972,PAST
-66.32079398,-11.06595087,PAST
-66.010464,-10.99166336,PAST
-66.01777862,-10.9760908,PAST
-66.1375295,-11.03853304,PAST
-65.12910032,-11.61990424,PAST
-64.175437,-12.453963,PAST
-64.26843576,-12.46850178,PAST
-64.35208435,-12.4330628,PAST
-64.64829088,-12.18178839,PAST
-62.27696661,-13.08131489,PAST
-62.23663579,-13.04358431,PAST
-62.20863585,-13.03509127,PAST
-61.04919312,-13.48436202,PAST
-61.90371179,-13.25081368,PAST
-63.43389735,-12.22245226,PAST
-63.43035374,-12.19144931,PAST
-63.796731,-13.691274,PAST
-65.4508,-13.707,PAST
-65.461341,-13.779085,PAST
-65.51353,-13.879246,PAST
-67.4783497290567,-9.93096205625388,TREES/INPE
-67.4680359270164,-9.97342424363385,TREES/INPE
-67.2961339650104,-9.87665825987073,TREES/INPE
-67.2902775771484,-9.87295650373959,TREES/INPE
-67.2887628544221,-9.87304560586995,TREES/INPE
-67.5772520202176,-9.943415882860233,TREES/INPE
-67.5733449629996,-9.94158234994547,TREES/INPE
-67.57640685770376,-9.943413495698268,TREES/INPE
-67.5688430224874,-9.93465335956484,TREES/INPE
-67.5756365366563,-9.927060294817595,TREES/INPE
-58.0194527495287,-3.25946419871742,TREES/INPE
-52.8517871619479,0.060060401865037,TREES/INPE
-51.5982171688872,0.888481898820401,TREES/INPE
-51.5993952582845,0.888575630660779,TREES/INPE
-51.5997396599573,0.891166190767323,TREES/INPE
-51.6711375863305,2.91176468429279,TREES/INPE
-51.6700423703591,2.91170050237632,TREES/INPE
-53.6792534822826,-11.8648344041635,TREES/INPE
-53.6779545942982,-11.8658054757784,TREES/INPE
-53.6789681619511,-11.8631033169644,TREES/INPE
-53.680138561699,-11.8630688704996,TREES/INPE
-53.6779793600349,-11.8646276402917,TREES/INPE
-53.6759838255931,-11.8706585979159,TREES/INPE
